index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
892,"AI生成がイラストレーターに対して被害を受けている状況を引き起こしている。
AIに自由学習させることが違法とすべきである。",規範的主張,AI生成がイラストレーターに対して,被害を受けている,AIに自由学習させること,違法とすべき,NA,NA,AI生成がイラストレーターに対して被害を受けているから、AIに自由学習させることは違法とすべきである。,0,268,7,21,2960,2960,0.1
893,"AIが小説や絵に対して無断で学習に利用されている。
表現する喜びが存在するべきである。",規範的主張,AIが無断で学習,小説や絵に対して,表現する喜び,存在するべき,NA,NA,AIが小説や絵に対して無断で学習しているから、表現する喜びが存在するべきである。,7,1699,3198,3716,2960,2960,0.1
895,"生成AIの作成の速さ、受け入れるデータ量の多さが人間に対して比ではない状況を引き起こしている。
生成AIの利用が禁止または慎重に扱うべきである。",規範的主張,生成AIの速さ,人間に比ではない,生成AIの利用,禁止または慎重,NA,NA,生成AIの速さが人間に比ではないから、生成AIの利用は禁止または慎重であるべきである。,354,3866,0,4436,2960,2960,0.1
896,"インターネット上にアップロードされている自身が権利者ではない画像を素材としてAIに取り込むケースが学習用素材として使用に対して違法ではないとされる状況を引き起こしている。
法整備者がもう一度素案について考え直して欲しい。",要望,AIに取り込む,違法ではない,NA,NA,法整備者,素案について考え直す,AIに取り込むことが違法ではないから、法整備者に対して素案について考え直して欲しい。,4599,322,2960,2960,287,4442,0.1
897,"生成AIが創作者に対して存在意義やプライドを大きく傷付けられ、名誉を毀損される可能性がある。
生成AIの運用が安全で誰にとっても良いものである技術にするために適切な法を立てることが第一である。",規範的主張,生成AIが創作者に,名誉を毀損される,適切な法,第一である,NA,NA,生成AIが創作者に名誉を毀損されるから適切な法を立てることが第一である。,0,2502,1881,4798,2960,2960,0.2
898,"AIで出力されるイラスト、写真、その他創作物が創作物市場に対して被害をもたらしている。
政府が創作物を窃取したAIの放置をやめさせることを求める。",要望,AIで出力されるイラスト,創作物市場に被害,NA,NA,政府,AIの放置をやめさせる,AIで出力されるイラストが創作物市場に被害をもたらしているから、政府に対してAIの放置をやめさせて欲しい。,299,2693,2960,2960,2383,4824,0.1
899,"AI無断学習に反対した人気イラストレーターがAIを使用した嫌がらせに対して恒常的に晒されることが常態化している。
政府が無断学習したAIによる自殺教唆やヘイトスピーチ・フェイクニュースを肯定する作品を制作した人間に適用できる罰則を制定して欲しい。",要望,イラストレーター,恒常的に晒される,NA,NA,政府,罰則を制定,イラストレーターが恒常的に晒されるから、政府に対して罰則を制定して欲しい。,202,3393,2960,2960,2383,3933,0.1
900,"AIと著作権に関する考え方について（素案）が創作者・創作活動に対して衰退・妨害を引き起こしている。
政府が素案への修正を求める。",要望,AIと著作権に関する考え方,創作者・創作活動に対して衰退・妨害を引き起こしている,NA,NA,政府,素案への修正を求める,AIと著作権に関する考え方が創作者・創作活動に対して衰退・妨害を引き起こしているから、政府に対して素案への修正をして欲しい。,309,484,2960,2960,2383,4094,0.1
902,"AIの開発を停止することが国際競争力を低下させる。
AIを犯罪に用いることが何らかの規制は必要である。",規範的主張,AIの開発を停止,国際競争力を低下,AIを犯罪に用いること,規制が必要,NA,NA,AIの開発を停止することが国際競争力を低下させるから、AIを犯罪に用いることに何らかの規制が必要である。,1989,1114,5030,18,2960,2960,0.8
903,"生成AIを使ったディープフェイクが災害時に対して致命的な偽の情報が出回る可能性を引き起こしている。
学習が必要な生成AIが学習元の開示と著作件元の許可を取ることを義務にしてほしい。",要望,生成AIを使ったディープフェイク,災害時に致命的な偽の情報が出回る可能性,NA,NA,生成AI,学習元の開示と著作件元の許可を取ること,生成AIを使ったディープフェイクが災害時に致命的な偽の情報が出回る可能性があるから、生成AIに対して学習元の開示と著作件元の許可を取ることをして欲しい。,76,4117,2960,2960,0,4431,0.1
904,"AIの使用が法的対応が追いつかない状況を引き起こしている。
司法システムがAIの違法行為に対して繋がりやすくなるべきである。",規範的主張,AIの使用,法的対応が追いつかない,司法システム,AIの違法行為に対して繋がりやすくなるべき,NA,NA,AIの使用が法的対応が追いつかないから司法システムはAIの違法行為に対して繋がりやすくなるべきである。,13,5079,4017,2066,2960,2960,0.2
905,"AIの学習が無断で行われていることが心が痛む。
AIが作品の奪取と利用を止めてほしい。",要望,AIの学習,無断で行われている,NA,NA,AI,作品の奪取と利用を止める,AIの学習が無断で行われているから、AIに対して作品の奪取と利用を止めて欲しい。,7,3205,2960,2960,4491,2264,0.1
906,"AI技術が嫌がらせに対して多数使われている。
AIを用いた製作活動が決して許してはならない。",規範的主張,AI技術,嫌がらせに対して多数使われている,AIを用いた製作活動,決して許してはならない,NA,NA,AI技術が嫌がらせに対して多数使われているから、AIを用いた製作活動は決して許してはならない。,10,4773,4166,574,2960,2960,0.1
907,"AIを利用した著作物において注意を払わなければならないという考えが理解できる。
AIを利用した著作物において注意を払わなければならないという考えが適用される素案が断固反対である。",規範的主張,AI利用の著作物,注意が必要,素案の反対,断固として,NA,NA,AI利用の著作物において注意が必要だから、素案の反対が断固として行われるべきである。,0,714,91,4683,2960,2960,0.1
909,"不正に学習した生成AIがクリエイターに対して真面目に絵やデザインを勉強している身として大変迷惑している状況を引き起こしている。
不特定多数がクリエイターの尊厳を奪わないでください。",要望,不正に学習した生成AI,クリエイターに迷惑,NA,NA,不特定多数,クリエイターの尊厳を奪わない,不正に学習した生成AIがクリエイターに迷惑しているから、不特定多数に対してクリエイターの尊厳を奪わないで欲しい。,7,127,2960,2960,1589,4559,0.1
910,"生成AIの技術的な背景についてが注目されている。
生成AIの使用して制作した物が新たな発想をもって制作した物とは言い難い。",規範的主張,生成AIの技術的な背景,注目されている,生成AIの使用,新たな発想をもって制作した物とは言い難い,NA,NA,生成AIの技術的な背景が注目されているから、生成AIの使用して制作した物は新たな発想をもって制作した物とは言い難い。,366,1231,0,5016,2960,2960,0.1
911,"画像生成AIが著作権の範囲やAIに無断で学習させることへの規制、罰則をはっきりさせてほしい。
画像生成AIが考えを改めるべきである。",規範的主張,画像生成AI,著作権の範囲や罰則,画像生成AI,考えを改める,NA,NA,画像生成AIが著作権の範囲や罰則をはっきりさせてほしいから、画像生成AIは考えを改めるべきである。,0,24,0,2826,2960,2960,0.1
912,"AIが絵を描くことを生業にしてる人に対して仕事を奪う様なことが発生している。
政府が絵を描くことを生業にしてる人をこれ以上増やさないようにしてほしい。",要望,AIが絵を描くこと,生業にしてる人に対して仕事を奪う,NA,NA,政府,絵を描くことを生業にしてる人をこれ以上増やさないようにする,AIが絵を描くことが生業にしてる人に対して仕事を奪うから、政府に対して絵を描くことを生業にしてる人をこれ以上増やさないようにして欲しい。,0,2029,2960,2960,2383,4696,0.2
913,"一般人が著作物に対して大量に読み取り学習させ絵を公開している。
AI生成の規制が厳格であるべきである。",規範的主張,一般人が著作物に対して,大量に読み取り学習させ絵を公開,AI生成の規制,厳格であるべき,NA,NA,一般人が著作物に対して大量に読み取り学習させ絵を公開しているから、AI生成の規制が厳格であるべきである。,3227,3851,44,27,2960,2960,0.2
914,"生成AIが創作者に対して影響を与えている。
生成AIによる著作権侵害と人権侵害が立派な著作権侵害であり、人権侵害である。",規範的主張,生成AIが創作者に,影響を与えている,著作権侵害と人権侵害,立派な著作権侵害であり、人権侵害,NA,NA,生成AIが創作者に影響を与えているから、著作権侵害と人権侵害は立派な著作権侵害であり、人権侵害であるべきである。,0,161,3375,4156,2960,2960,0.1
915,"生成AIの使用が創作物に対して大量に増える状況を引き起こしている。
生成AIの使用範囲が厳格に定めるべきである。",規範的主張,生成AIの使用,創作物に対して大量に増える状況,使用範囲,厳格に定めるべき,NA,NA,生成AIの使用が創作物に対して大量に増える状況だから使用範囲を厳格に定めるべきである。,0,863,2820,1598,2960,2960,0.2
917,"第三者が無断で学習させ自らの作品としてAIを使い出力することが無断転載とどこが違うのだろうかと捉えている。
法整備が無断転載・無断学習の法整備を強く要求する。",規範的主張,第三者が無断で学習,自らの作品としてAIを使い出力,法整備,無断転載・無断学習の法整備を強く要求する,NA,NA,第三者が無断で学習し自らの作品としてAIを使い出力するから、法整備は無断転載・無断学習の法整備を強く要求するべきである。,1380,3748,329,1507,2960,2960,0.2
919,"生成AIが学習したパターンやルール、傾向等に基づき生成物を生成することが通常、学習データの切り貼りではないとされる。
生成AIの現状が変えるべきである。",規範的主張,生成AIが学習したパターン,ルールや傾向,生成AIの現状,変えるべき,NA,NA,生成AIが学習したパターンやルール、傾向があるから、生成AIの現状を変えるべきである。,2846,4410,0,310,2960,2960,0.2
920,"生成AIがクリエイターの作品に対して勝手に使用されている。
クリエイターの作品を掠め取る行為が規制すべきである。",規範的主張,生成AIがクリエイターの作品,勝手に使用されている,作品を掠め取る行為,規制すべき,NA,NA,生成AIがクリエイターの作品を勝手に使用されているから、作品を掠め取る行為は規制すべきである。,0,3222,3442,18,2960,2960,0.2
921,"岸田首相の生成AI動画がイラスト界隈に対して同じことが起きている状況を引き起こしている。
生成AIが創造物を悪質な学習から守って欲しい。",要望,岸田首相の生成AI動画,イラスト界隈に対して同じことが起きている状況,NA,NA,生成AI,創造物を悪質な学習から守る,岸田首相の生成AI動画がイラスト界隈に対して同じことが起きている状況だから、生成AIに創造物を悪質な学習から守って欲しい。,3560,4863,2960,2960,0,3109,0.2
923,"AI使用者やAI生成データの作成者が誰かの著作物に対して著作権侵害を引き起こしている。
規制当局が厳しく取り締まって欲しい。",要望,AI使用者やAI生成データの作成者,誰かの著作物に対して著作権侵害を引き起こしている,NA,NA,規制当局,厳しく取り締まって欲しい,AI使用者やAI生成データの作成者が誰かの著作物に対して著作権侵害を引き起こしているから、規制当局に厳しく取り締まって欲しい。,1279,15,2960,2960,369,249,0.1
924,"画像生成AIが倫理的、社会的に問題のあるものを誰でも作成・使用できる状態が画像生成AI。
画像生成AIの利用が免許制にするなどの仕組みを作るべきである。",規範的主張,画像生成AI,倫理的、社会的に問題,利用の免許制,仕組みを作るべき,NA,NA,画像生成AIが倫理的、社会的に問題があるから利用の免許制の仕組みを作るべきである。,0,3952,2159,1474,2960,2960,0.2
926,"生成AIが創作・美術関連に対してただの食い物にしている。
生成AIの規制が守って繋いでいくべきである。",規範的主張,生成AIが創作,ただの食い物,生成AIの規制,守って繋いでいくべき,NA,NA,生成AIが創作をただの食い物にしているから、生成AIの規制が守って繋いでいくべきである。,0,4116,44,1366,2960,2960,0.1
928,"生成AIによる作家のアイデンティティの盗用、使用者による無軌道な著作者への挑発・脅迫行為等が作家に対して実害の面でも懸念がある状況を引き起こしている。
生成AIの初期段階での勇気を持った規制が必要である。",規範的主張,生成AIによる作家のアイデンティティの盗用,作家に対して実害の面でも懸念がある状況,生成AIの初期段階での勇気を持った規制,必要,NA,NA,生成AIによる作家のアイデンティティの盗用は作家に対して実害の面でも懸念がある状況だから、生成AIの初期段階での勇気を持った規制が必要である。,2307,4016,4972,39,2960,2960,0.1
929,"AIと著作権の関係を直接的に取り合った判例や裁判例が未だ乏しい状況が現行の法令。
現行の法令が判例を増やす必要がある。",規範的主張,AIと著作権の関係,判例や裁判例が乏しい,現行の法令,判例を増やすべき,NA,NA,AIと著作権の関係は判例や裁判例が乏しいから、現行の法令は判例を増やすべきである。,0,3519,1883,3993,2960,2960,0.2
930,"AI自体が素晴らしいと思う状況で。
娯楽部分が厳しく規制する必要性がある。",規範的主張,AI自体が素晴らしい,と思う状況で,娯楽部分の厳しい規制,必要性がある,NA,NA,AI自体が素晴らしいと思う状況で、娯楽部分の厳しい規制が必要性がある。,346,667,1657,39,2960,2960,0.2
932,"生成AIが市民に対してモラルが欠如している状況を引き起こしている。
AI学習の初期段階で他社の作品をデータに組み込む行為が改めるべきである。",規範的主張,生成AIが市民に対して,モラルが欠如している,AI学習の初期段階で,他社の作品をデータに組み込む行為が改めるべき,NA,NA,生成AIが市民に対してモラルが欠如しているから、AI学習の初期段階で他社の作品をデータに組み込む行為が改めるべきである。,1608,815,7,583,2960,2960,0.1
933,"AIツールが絵と絵描きに対して破壊的な影響を与えている。
イラストレーターの方々が長期的な視野を持って慎重な対応であるべきである。",規範的主張,AIツールが絵と絵描きに,破壊的な影響を与えている,イラストレーターの方々,慎重な対応であるべき,NA,NA,AIツールが絵と絵描きに破壊的な影響を与えているから、イラストレーターの方々は慎重な対応であるべきである。,1615,4917,202,1787,2960,2960,0.2
934,"法整備がなされず誰も彼もが好き勝手AI生成に触れられるままになる状況が自分で作成した作品に対してAIに奪われデザイン等のオリジナリティ要素まで使われてしまう状況を引き起こしている。
AI生成物自体が他人の作品を用いた技術であり著作権侵害に当たるようであるべき。",規範的主張,法整備がなされず,誰も彼もが好き勝手AI生成に触れられる,AI生成物自体,著作権侵害に当たるよう,NA,NA,法整備がなされず誰も彼もが好き勝手AI生成に触れられるから、AI生成物自体が著作権侵害に当たるようであるべきである。,144,2381,0,15,2960,2960,0.1
936,"AIによる追加学習が容易な状態が差止請求に対して新たな追加学習データを配布されるだけであり、根本的解決には至らない状況を引き起こしている。
政府が特定のクリエイターにそっくりなAIイラストが投稿されている場合や、それを出力できるAIを見つけた際の防止法を明示してほしい。",要望,追加学習が容易,根本的解決に至らない,NA,NA,政府,防止法を明示,追加学習が容易だから根本的解決に至らない状況で、政府に対して防止法を明示して欲しい。,3944,816,2960,2960,2383,4256,0.1
937,"今回の素案が賛成できない。
AIの素材となる作品の著作権、また個人のプライバシー・尊厳・権利がしっかり守られるべきである。",規範的主張,素案が賛成できない,NA,著作権とプライバシー,守られるべき,NA,NA,素案が賛成できないから、著作権とプライバシーが守られるべきである。,1043,2960,1111,179,2960,2960,0.2
939,"AIの機能が良いと捉えている。
社会が創作する人たちを守ることを求める。",要望,AIの機能,良い,NA,NA,社会,創作する人たちを守る,AIの機能が良いから、社会に対して創作する人たちを守って欲しい。,1900,4423,2960,2960,2880,2819,0.2
940,"生成AIがクリエイターの著作権に対して侵害している。
生成AIの学習に用いるデータが提供者の許可を得ることを完全に義務化すべきである。",規範的主張,生成AIがクリエイターの著作権に対して侵害している,NA,生成AIの学習に用いるデータ,提供者の許可を得ることを完全に義務化すべき,NA,NA,生成AIがクリエイターの著作権に対して侵害しているから、生成AIの学習に用いるデータは提供者の許可を得ることを完全に義務化すべきである。,0,2960,41,1465,2960,2960,0.1
941,"生成AIが長い時間の工程を指先ひとつ0.何秒で終わらせることが自分の絵を学習したものかもしれない、たくさんの時間をかけて研鑽を積んだ誰かのものかもしれない。
法整備が急務である。",規範的主張,生成AIが長い時間の工程を終わらせる,自分の絵を学習したものかもしれない,法整備,急務,NA,NA,生成AIが長い時間の工程を終わらせることが自分の絵を学習したものかもしれないから、法整備が急務であるべきである。,2732,3894,329,4422,2960,2960,0.1
943,"日本の創作文化の破壊がアニメや漫画・イラストに対して波及している。
著作物の法的保護が強化すべきである。",規範的主張,日本の創作文化の破壊,アニメや漫画・イラストに対して波及,著作物の法的保護,強化すべき,NA,NA,日本の創作文化の破壊がアニメや漫画・イラストに対して波及しているから著作物の法的保護が強化すべきである。,22,4671,15,715,2960,2960,0.1
944,"AI生成画像がクリエイターに対して意欲を損失させている。
対策の実施が一刻も早くあるべきである。",規範的主張,AI生成画像,クリエイターに対して意欲を損失させている,対策の実施,一刻も早くあるべきである,NA,NA,AI生成画像がクリエイターに対して意欲を損失させているから対策の実施が一刻も早くあるべきである。,0,59,2022,326,2960,2960,0.1
947,"生成AIがAIではない創作者に対して農家に対価も払わず、許可もなく、畑から農作物を掠め取っても許される状況を引き起こしている。
生成AIの利用が許可や対価が必要である。",規範的主張,生成AIがAI,創作者に対して不公平,生成AIの利用,許可や対価が必要,NA,NA,生成AIがAIで創作者に対して不公平だから、生成AIの利用は許可や対価が必要であるべきである。,0,3938,0,3644,2960,2960,0.2
948,"フェイクニュースが社会に対して大きな問題を引き起こしている。
法整備者が作品を作る側も観る側も傷付く事のない法整備をお願いする。",要望,フェイクニュース,社会に大問題,NA,NA,法整備者,傷付く事のない法整備をして欲しい,フェイクニュースが社会に大問題を引き起こしているから、法整備者に対して傷付く事のない法整備をして欲しい。,2188,107,2960,2960,287,4533,0.2
950,"生成AIが素晴らしい技術であるがこの世の終わりである。
生成AIの学習が著作権により制限をかけるべきである。",規範的主張,生成AIが素晴らしい技術,この世の終わり,生成AIの学習,著作権により制限をかけるべき,NA,NA,生成AIが素晴らしい技術であるがこの世の終わりであるから、生成AIの学習は著作権により制限をかけるべきである。,1788,1976,7,15,2960,2960,0.1
951,"生成AIが元々いたクリエイターの権利に対して侵害している。
クリエイターとすべての人間と企業の権利が自身の作品が生成AIに学習されない権利が保障されるべきである。",規範的主張,生成AIが,権利に侵害,クリエイターと人間と企業,権利が保障,NA,NA,生成AIが権利に侵害しているから、クリエイターと人間と企業の権利が保障されるべきである。,0,42,638,1687,2960,2960,0.2
952,"AI画像がネット上のイラストに対して無断で学習に使用し自分の著作物であるかのように発信している。
政府が早急な対策を求める。",要望,AI画像がネット上のイラストに対して無断で学習,自分の著作物であるかのように発信,NA,NA,政府,早急な対策,AI画像がネット上のイラストに対して無断で学習し自分の著作物であるかのように発信しているから、政府に対して早急な対策をして欲しい。,4759,2075,2960,2960,2383,119,0.1
953,"生成物が学習元の切り貼りではないなどの調査不足な項目がとてもではないがクリエイターの権利を守ろうという内容には足りてない。
AIの著作権についての文章がクリーンなライセンスを持ったデータベースであるべきである。",規範的主張,AIの著作権,クリエイターの権利を守る,データベース,クリーンなライセンスを持つ,NA,NA,AIの著作権はクリエイターの権利を守るため、データベースはクリーンなライセンスを持つべきである。,0,276,2535,3366,2960,2960,0.1
954,"生成AIが学習データに対して切り貼りではないとされる状況を引き起こしている。
法案整備者が著作権周りの法案整備をお願いする。",要望,生成AIが学習データに対して,切り貼りではないとされる状況,NA,NA,法案整備者,著作権周りの法案整備をして欲しい,生成AIが学習データに対して切り貼りではないとされる状況だから、法案整備者に著作権周りの法案整備をして欲しい。,41,4750,2960,2960,3524,2070,0.2
955,"AI生成技術の発展がAIを使用していることを公表しない人物の登場。
社会がAIを看破する方法を見つけるよう求める。",要望,AI生成技術の発展,AIを使用していることを公表しない人物の登場,NA,NA,社会,AIを看破する方法を見つける,AI生成技術の発展がAIを使用していることを公表しない人物の登場だから、社会に対してAIを看破する方法を見つけて欲しい。,10,668,2960,2960,2880,3267,0.2
956,"AIが日本の文化に対して崩壊を引き起こしている。
日本政府が日本の文化を守って欲しい。",要望,AIが日本の文化,崩壊を引き起こしている,NA,NA,日本政府,日本の文化を守る,AIが日本の文化に崩壊を引き起こしているから、日本政府に対して日本の文化を守って欲しい。,195,1856,2960,2960,509,1276,0.1
957,"生成AIが特定のクリエイターに対して仕事が減る状況を引き起こしている。
生成AIが確実に規制すべきである。",規範的主張,生成AI,仕事が減る,生成AI,規制すべき,NA,NA,生成AIが仕事が減るから生成AIは規制すべきである。,0,199,0,18,2960,2960,0.1
958,"生成AI使用者が著作権者に対して加害行為を引き起こしている。
生成AIによる出力物に対する著作権や権利の付与が勘違いを助長し元データとなっている人の人権、能力を侮辱する行為であるべきではない。",規範的主張,生成AI使用者,著作権者に対して加害行為,著作権や権利の付与,勘違いを助長しない,NA,NA,生成AI使用者が著作権者に対して加害行為を引き起こしているから、著作権や権利の付与は勘違いを助長しないべきである。,0,15,4178,2590,2960,2960,0.1
959,"AI学習がイラストレーターの絵に対して無断で利用されている状況を引き起こしている。
政府または関連機関がイラストレーターを守る対策をしてほしい。",要望,AI学習,イラストレーターの絵に対して無断で利用,NA,NA,政府または関連機関,イラストレーターを守る対策をしてほしい,AI学習がイラストレーターの絵に対して無断で利用されているから、政府または関連機関にイラストレーターを守る対策をして欲しい。,7,3667,2960,2960,131,2288,0.1
960,"AIがイラストレーターの作品に対して勝手に使用されている。
社会がAIについて考えてほしい。",要望,AIがイラストレーターの作品,勝手に使用されている,NA,NA,社会,AIについて考えて欲しい,AIがイラストレーターの作品を勝手に使用されているから、社会に対してAIについて考えて欲しい。,0,3222,2960,2960,2880,1774,0.1
961,"AI使用者が学習という表現に対して逃げ道となっている状況を引き起こしている。
AIの著作権侵害が強く主張される。",規範的主張,AI使用者,逃げ道となっている,AIの著作権侵害,強く主張されるべき,NA,NA,AI使用者が逃げ道となっているから、AIの著作権侵害が強く主張されるべきである。,99,5061,0,3711,2960,2960,0.1
962,"生成AIの開発元があの作家さんの絵に対して学習している。
漫画家が危機感を持っている。",要望,生成AIの開発元,あの作家さんの絵に対して学習,NA,NA,漫画家,危機感を持つ,生成AIの開発元があの作家さんの絵に対して学習しているから、漫画家に対して危機感を持って欲しい。,0,2096,2960,2960,2594,1019,0.2
964,"AIによる画像や文章の生成がイラストレーター等の仕事に対してなくなっている。
AIによる画像や文章の生成が積極的に使っていくべき技術である。",規範的主張,AIの生成,仕事への影響,AI技術の使用,積極的な推進,NA,NA,AIの生成が仕事への影響だからAI技術の使用を積極的に推進すべきである。,0,3615,10,1697,2960,2960,0.2
965,"生成AIが著作権違反に限りなく近い事態を引き起こしている。
生成AIの利用が擁護、促進することはできない。",規範的主張,生成AIが著作権違反,限りなく近い事態,生成AIの利用,擁護、促進できない,NA,NA,生成AIが著作権違反に限りなく近い事態であるから、生成AIの利用は擁護、促進できないべきである。,0,4883,0,2101,2960,2960,0.1
966,"AIによって自動的に描かれた作品が本人の努力でも創造力でもないと断言できる。
AIによる創作が反対である。",規範的主張,AIによる作品,努力や創造力なし,AIによる創作,反対であるべき,NA,NA,AIによる作品が努力や創造力なしであるから、AIによる創作は反対であるべきである。,0,1659,0,243,2960,2960,0.1
967,"日本だけで自分で描いた絵を誰にも学習させたくないと考える人たちの権利を守る決まりを禁止した場合が日本に対してAIを使えず作業効率が落ちる状況を引き起こしている。
自分で描いた絵を誰にも学習させたくないと考える人たちの権利を守る決まりが全世界で同時にやるべきである。",規範的主張,決まりを禁止した場合,作業効率が落ちる,権利を守る決まり,全世界で同時にやるべき,NA,NA,決まりを禁止した場合作業効率が落ちるから権利を守る決まりが全世界で同時にやるべきである。,1251,642,4487,4968,2960,2960,0.8
968,"AIが人間の学習に対して規模も規格も違う状況を引き起こしている。
従来の著作権法の考え方が根本的に間違っているである。",規範的主張,AIが人間の学習,規模も規格も違う状況,著作権法の考え方,根本的に間違っている,NA,NA,AIが人間の学習に対して規模も規格も違う状況であるから、著作権法の考え方が根本的に間違っているべきである。,259,3718,344,4267,2960,2960,0.1
969,"この行為が創作活動を行っている者に対して精神的ダメージを被る行為であり不快である。
AIの開発が学習先の創作物等の制作者に許可をもらう手続きを必ず踏まえることが重要である。",規範的主張,この行為,精神的ダメージ,AIの開発,許可をもらう手続き,NA,NA,この行為が精神的ダメージを与えるから、AIの開発は許可をもらう手続きが重要であるべきである。,230,3441,10,3806,2960,2960,0.2
973,"生成AIの生活への浸透が避けられないものだと思っている。
規制推進者がフェアな推進をお願いする。",要望,生成AIの生活への浸透,避けられないもの,NA,NA,規制推進者,フェアな推進,生成AIの生活への浸透が避けられないものだから、規制推進者にフェアな推進をして欲しい。,826,3636,2960,2960,4028,4242,0.2
974,"イラストレーターが無断で学習に対して殺害予告を受けている。
開発段階イラストレーターが嫌がらせなどの悪用の対策をお願いします。",要望,イラストレーター,殺害予告を受けている,NA,NA,開発段階イラストレーター,嫌がらせの対策をして欲しい,イラストレーターが殺害予告を受けているから、開発段階イラストレーターに対して嫌がらせの対策をして欲しい。,202,296,2960,2960,4676,858,0.1
975,"AIと著作権に関する考え方について（素案）が問題視されている点が改善される内容であると感じられる。
一般社会が著作権の広い認知を早急に行って頂きたい。",要望,AIと著作権に関する考え方,問題視されている点が改善される内容,NA,NA,一般社会,著作権の広い認知を早急に行う,AIと著作権に関する考え方に問題視されている点が改善される内容であるから、一般社会に対して著作権の広い認知を早急に行って欲しい。,309,2149,2960,2960,1135,4969,0.2
976,"AI学習の生成物は学習元の情報がなければなり得なかったものが窃盗と同等である。
政府が学習元の利益が保証される制度作りを希望する。",要望,AI学習の生成物,窃盗と同等,NA,NA,政府,制度作りを希望,AI学習の生成物は窃盗と同等だから、政府に対して制度作りをして欲しい。,2604,129,2960,2960,2383,3138,0.1
977,"日本のアニメや漫画、イラストという独特の経済発展要素が失われると考える。
アーティストが学習される点において守るべきである。",規範的主張,日本のアニメや漫画、イラスト,経済発展要素が失われる,アーティスト,守るべき,NA,NA,日本のアニメや漫画、イラストが経済発展要素が失われるからアーティストを守るべきである。,793,1708,1183,179,2960,2960,0.2
978,"声優の声やイラストデータ・写真を無断使用、コピーを作ろうとしている動きがデータ元に対して競合する生成AI開発を引き起こしている。
AIの利用分野が制限・監視・罰則を必ず設けるべき。",規範的主張,声優の声やイラストデータ・写真を無断使用,競合する生成AI開発を引き起こしている,AIの利用分野,制限・監視・罰則を必ず設けるべき,NA,NA,声優の声やイラストデータ・写真を無断使用することが競合する生成AI開発を引き起こしているから、AIの利用分野には制限・監視・罰則を必ず設けるべきである。,1857,3832,1243,4008,2960,2960,0.1
980,"生成AIによる嫌がらせが蔓延する世の中が世の中。
AIが免許制にあるべきである。",規範的主張,生成AIによる嫌がらせ,蔓延する世の中,AI,免許制,NA,NA,生成AIによる嫌がらせが蔓延する世の中だから、AIは免許制であるべきである。,0,4430,4491,3188,2960,2960,0.1
981,"AIを使っている一部の人がイラストレーターに対して殺害予告までされている状況を引き起こしている。
イラストレーターの信用に関わる問題が対策する方法が必要である。",規範的主張,AI使用者の一部,殺害予告をしている,イラストレーターの信用,対策が必要,NA,NA,AI使用者の一部が殺害予告をしているから、イラストレーターの信用に対する対策が必要である。,1998,296,3873,4055,2960,2960,0.1
982,"AIによる“創作”が他者からの利益権利を横取りすることが文化に対して衰退を引き起こしている。
AIによる“創作”が他者からの利益権利を横取りすることが罪に問わないことはおかしい。",規範的主張,AIによる創作,文化に対して衰退を引き起こしている,罪に問われること,必要,NA,NA,AIによる創作が文化に対して衰退を引き起こしているから罪に問われることが必要である。,0,222,1193,39,2960,2960,0.1
983,"生成AIがイラストレーターやミュージシャンに対して仕事を奪い、筆を折らせている。
法制度が素晴らしい作品の著作権が適切に守られるようなルールづくりを求める。",要望,生成AIが,仕事を奪い,NA,NA,法制度,ルールづくりを求める,生成AIが仕事を奪うから、法制度に対してルールづくりをして欲しい。,0,164,2960,2960,288,4465,0.2
984,"インボイスが声優・ナレーターの収入に対して減少させている。
ルール作りが個人の尊厳を守り、商圏を潰さず、文化を育むようであるべきである。",規範的主張,インボイス,声優・ナレーターの収入減少,ルール作り,個人の尊厳保護,NA,NA,インボイスが声優・ナレーターの収入減少だから、ルール作りが個人の尊厳を保護するようであるべきである。,594,4291,2832,400,2960,2960,0.1
985,"AI生成物が著作者の利益に対して侵害している。
文化庁がAI生成物に対する規制を強化することを求める。",規範的主張,AI生成物,著作者の利益に対して侵害,文化庁,規制を強化すること,NA,NA,AI生成物が著作者の利益に対して侵害しているから文化庁は規制を強化することが必要である。,0,66,2182,193,2960,2960,0.1
988,"生成AIが創作物や写真等に対して不特定多数の創作物や写真等を学習させて生成されている。
生成AIの使用が多くの制約をつけるべきである。",規範的主張,生成AIが創作物,不特定多数の創作物,使用が多くの制約,つけるべき,NA,NA,生成AIが創作物や写真等に対して不特定多数の創作物や写真等を学習させて生成されているから、使用には多くの制約をつけるべきである。,0,933,2561,2953,2960,2960,0.2
990,"AIの性質がイラスト等作品に対して著作権的に問題がある状況を引き起こしている。
AIの著作権規制が必要である。",規範的主張,AIの性質,著作権的に問題,AIの著作権規制,必要,NA,NA,AIの性質が著作権的に問題であるから、AIの著作権規制が必要である。,2662,15,0,39,2960,2960,0.1
991,"生成AIが著作物に対して無断で利用し悪用される状況を引き起こしている。
生成AIの活用が悪用を防ぐ仕組みや制度が必要である。",規範的主張,生成AIが著作物,無断で利用し悪用,仕組みや制度,必要,NA,NA,生成AIが著作物を無断で利用し悪用しているから、仕組みや制度が必要である。,0,767,2719,39,2960,2960,0.2
